ICAO Aircraft Type Code,IATA Aircraft type Code,Model,Aircraft manufacturer,In Use Indicator (Yes/No),ICAO Airline Code,IATA Airline Code,Number of seats
A333,333,A330-300,Airbus,no,,XMS,295
A333,333,A330-300,Airbus,yes,QJ,,295
A333,333,A330-300,Airbus,yes,MS,MSR,295
A333,333,A330-300,Airbus,yes,CI,CAL,295
A333,333,A330-300,Airbus,yes,AC,ACA,295
A333,333,A330-300,Airbus,,,,295
A333,333,A330-300,Airbus,yes,UL,ALK,295
A333,333,A330-300,Airbus,yes,SQ,SIA,295
A333,333,A330-300,Airbus,yes,SE,SEU,295
A333,333,A330-300,Airbus,yes,SV,SVA,295
A333,333,A330-300,Airbus,yes,CZ,CSN,295
A333,333,A330-300,Airbus,yes,EY,ETD,295
A333,333,A330-300,Airbus,yes,AE,MDA,295
A333,333,A330-300,Airbus,yes,GA,GIA,295
A333,333,A330-300,Airbus,yes,GF,GBA,295
A333,333,A330-300,Airbus,yes,AT,RAM,295
A333,333,A330-300,Airbus,yes,NH,ANA,295
A333,333,A330-300,Airbus,yes,PG,BKP,295
A333,333,A330-300,Airbus,yes,QF,QFA,295
A333,333,A330-300,Airbus,yes,SU,AFL,295
A333,333,A330-300,Airbus,yes,US,USA,295
A333,333,A330-300,Airbus,yes,LX,SWR,295
A333,333,A330-300,Airbus,yes,BD,BMA,295
A333,333,A330-300,Airbus,,,,295
A333,333,A330-300,Airbus,,,,295
A333,333,A330-300,Airbus,yes,AY,FIN,295
A333,333,A330-300,Airbus,yes,R3,SYL,295
A333,333,A330-300,Airbus,yes,SN,DAT,295
A333,333,A330-300,Airbus,yes,AZ,AZA,295
A333,333,A330-300,Airbus,,,,295
A333,333,A330-300,Airbus,yes,UA,UAL,295
A333,333,A330-300,Airbus,yes,JL,JAL,295
A342,342,A340-200,Airbus,no,,XMS,0
A342,342,A340-200,Airbus,yes,IB,IBE,0
A342,342,A340-200,Airbus,yes,SA,SAA,0
A342,342,A340-200,Airbus,,,,0
A343,343,A340-300,Airbus,yes,MU,CES,0
A343,343,A340-300,Airbus,,,,0
A343,343,A340-300,Airbus,yes,TK,THY,0
A343,343,A340-300,Airbus,yes,TP,TAP,0
A343,343,A340-300,Airbus,yes,CA,CCA,0
