ICAO Aircraft Type Code,IATA Aircraft type Code,Model,Aircraft manufacturer,Year Manufactured,In Use Indicator (Yes/No),Min number of seats,Maximum of seats
,,E-190,Embraer,,Yes,94,106
,,ERJ-190,Embraer,,Yes,98,99
,,CRJ-100/200,Bombardier,,Yes,50,50
,,E-170,Embraer,,Yes,69,76
,,E-190,Embraer,,Yes,94,106
,,CRJ-1000,Bombardier,,Yes,96,100
,,(ATR),ATR72-600,,Yes,70,70
,,CRJ-900,Bombardier,,Yes,76,90
,,ATR-42,Aerospatiale,,Yes,48,48
,,CRJ-1000,Bombardier,,Yes,96,100
,,CRJ-200,Bombardier,,Yes,50,50
,,CRJ-900,Bombardier,,Yes,76,90
,,,ATR-72,,Yes,74,74
,,E-170,Embraer,,Yes,69,76
,,CRJ-200,Bombardier,,Yes,50,50
,,Q100,Bombardier,,Yes,39,39
,,Q300,Bombardier,,Yes,50,50
,,Q400,Bombardier,,Yes,71,78
,,340B,Saab,,Yes,34,36
,,E-190,Embraer,,Yes,94,106
,,E-175,Embraer,,Yes,76,88
,,E-190,Embraer,,Yes,94,106
